state	year	precinct	precinct_code	g2012_REG_tv	g2012_BALL_tv	cd	ld	sd	g2012_USP_adv	g2012_USP_arv	g2012_USP_atv	g2012_USP_dv	g2012_USP_edv	g2012_USP_erv	g2012_USP_etv	g2012_USP_ldv	g2012_USP_lrv	g2012_USP_ltv	g2012_USP_rv	g2012_USP_tv	g2012_USS_adv	g2012_USS_arv	g2012_USS_atv	g2012_USS_dv	g2012_USS_edv	g2012_USS_erv	g2012_USS_etv	g2012_USS_ldv	g2012_USS_lrv	g2012_USS_ltv	g2012_USS_rv	g2012_USS_tv	g2012_USH_adv	g2012_USH_edv	g2012_USH_ldv	g2012_USH_arv	g2012_USH_erv	g2012_USH_lrv	g2012_USH_atv	g2012_USH_etv	g2012_USH_ltv	g2012_USH_dv	g2012_USH_rv	g2012_USH_tv	g2012_STH_adv	g2012_STH_edv	g2012_STH_ldv	g2012_STH_arv	g2012_STH_erv	g2012_STH_lrv	g2012_STH_atv	g2012_STH_etv	g2012_STH_ltv	g2012_STH_dv	g2012_STH_rv	g2012_STH_tv	g2012_STS_adv	g2012_STS_edv	g2012_STS_ldv	g2012_STS_arv	g2012_STS_erv	g2012_STS_lrv	g2012_STS_atv	g2012_STS_etv	g2012_STS_ltv	g2012_STS_dv	g2012_STS_rv	g2012_STS_tv
"HI"	2012	"27-03"	142	6429	4571	1	27		1494	503	2017	3349	287	95	388	1568	526	2135	1124	4540	1252	744	1996	2802	249	137	386	1301	802	2103	1683	4485	1129	232	1174	857	151	922	1986	383	2096	2535	1930	4465	1133	209	1191	836	168	885	1969	377	2076	2533	1889	4422												
"HI"	2012	"27-04"	143	2351	1702	1	27		499	165	672	1223	115	43	161	609	237	856	445	1689	411	258	669	1033	97	58	155	525	324	849	640	1673	380	93	463	283	67	383	663	160	846	936	733	1669	392	98	539	272	60	294	664	158	833	1029	626	1655												
"HI"	2012	"27-05"	144	265	160	1	27		118	33	151	122	4	3	8	0	0	0	36	159	99	50	149	104	5	3	8	0	0	0	53	157	81	5	0	66	3	0	147	8	0	86	69	155	98	5	0	49	3	0	147	8	0	103	52	155												
"HI"	2012	"28-01"	145	2570	1432	1	28		428	93	523	1100	60	15	75	612	205	826	313	1424	368	152	520	961	50	24	74	543	280	823	456	1417	314	42	467	198	31	339	512	73	806	823	568	1391	409	50	656	100	23	145	509	73	801	1115	268	1383												
"HI"	2012	"28-02"	146	1734	1008	1	28		275	104	382	747	46	20	69	426	121	552	245	1003	240	136	376	649	43	26	69	366	181	547	343	992	228	38	300	144	30	245	372	68	545	566	419	985	292	43	402	79	24	126	371	67	528	737	229	966												
"HI"	2012	"28-03"	147	4850	2918	1	28		799	268	1078	2129	134	52	190	1196	418	1632	738	2900	702	372	1074	1858	118	70	188	1038	582	1620	1024	2882	660	113	938	408	73	664	1068	186	1602	1711	1145	2856	774	126	1200	255	57	381	1029	183	1581	2100	693	2793												
"HI"	2012	"28-04"	148	1227	619	1	28		173	43	219	489	25	8	33	291	65	361	116	613	144	76	220	409	18	15	33	247	110	357	201	610	139	18	217	82	14	140	221	32	357	374	236	610	178	22	292	39	7	62	217	29	354	492	108	600												
"HI"	2012	"29-01"	149	3330	1849	1			618	215	853	1310	152	49	202	540	219	773	483	1828	495	344	839	1044	123	71	194	426	331	757	746	1790	462	122	387	373	77	358	835	199	745	971	808	1779																								
"HI"	2012	"29-02"	150	2674	1101	1			301	112	417	793	54	24	78	438	150	602	286	1097	241	170	411	674	52	25	77	381	205	586	400	1074	210	49	337	196	29	244	406	78	581	596	469	1065																								
"HI"	2012	"29-03"	151	2297	1137	1			339	89	432	850	39	22	61	472	157	638	268	1131	305	122	427	744	34	27	61	405	221	626	370	1114	281	26	363	149	35	259	430	61	622	670	443	1113																								
