"county"	"precinct"	"ld"	"sd"	"cd"	"state"	"year"	"g2014_GOV_dv"	"g2014_GOV_rv"	"g2014_GOV_tv"	"g2014_SC_dv"	"g2014_SC_nv"	"g2014_SC_rv"	"g2014_SC_tv"	"g2014_SC_yv"	"g2014_STH_dv"	"g2014_STH_rv"	"g2014_STH_tv"	"g2014_STS_dv"	"g2014_STS_rv"	"g2014_STS_tv"	"g2014_USH_dv"	"g2014_USH_rv"	"g2014_USH_tv"	"g2014_USS_dv"	"g2014_USS_rv"	"g2014_USS_tv"
"12"	"220 Butte"	"12"	"F"	"1"	"AK"	2014		752	1371		557			589	351	976	1329	388	966	1357	408	838	1366	398	871	1374
"12"	"225 Eklutna"	"12"	"F"	"1"	"AK"	2014		423	790		288			364	276	488	768	193	575	773	277	443	786	262	473	792
"12"	"230 Peters Creek No. 1"	"12"	"F"	"1"	"AK"	2014		685	1190		405			576	327	829	1160	220	940	1165	355	736	1187	335	789	1199
"12"	"233 Peters Creek No. 2"	"12"	"F"	"1"	"AK"	2014		307	558		216			241	193	340	538	119	424	547	166	340	557	170	349	554
"13"	"235 Chugiak"	"13"	"G"	"1"	"AK"	2014		279	537		237			205		431	444	109	398	511	184	296	536	169	322	539
"13"	"240 Fire Lake"	"13"	"G"	"1"	"AK"	2014		478	782		239			393		681	704	130	623	756	236	473	778	205	533	786
"13"	"245 JBER No. 1"	"13"	"G"	"1"	"AK"	2014		203	311		78			177		261	268	62	242	304	83	204	316	70	239	325
"13"	"250 Downtown Eagle River No. 1"	"13"	"G"	"1"	"AK"	2014		548	1026		340			495		829	871	197	776	989	347	572	1031	322	632	1040
"13"	"255 Chugach Park No. 1"	"13"	"G"	"1"	"AK"	2014		378	685		214			323		537	569	145	513	659	239	398	681	233	429	691
"13"	"260 Centennial Park"	"13"	"G"	"1"	"AK"	2014		41	111		34			65		77	82	58	46	104	56	53	111	85	26	114
"14"	"940 Downtown Eagle River No. 2"	"14"	"G"	"1"	"AK"	2014		455	837		262			431	189	613	804	176	649	827	286	484	838	281	511	851
"14"	"945 Meadow Creek No. 1"	"14"	"G"	"1"	"AK"	2014		328	661		211			337	143	484	633	137	499	638	245	364	657	240	378	664
"14"	"950 Meadow Creek No. 2"	"14"	"G"	"1"	"AK"	2014		511	894		262			439	206	657	872	171	706	881	292	529	883	291	579	900
"14"	"955 Eagle River No. 1"	"14"	"G"	"1"	"AK"	2014		250	436		133			231	112	310	425	95	337	435	149	257	438	147	276	439
"14"	"960 Eagle River No. 2"	"14"	"G"	"1"	"AK"	2014		579	1058		275			608	263	753	1020	257	775	1035	401	566	1054	373	648	1060
"14"	"965 Chugach Park No. 2"	"14"	"G"	"1"	"AK"	2014		810	1441		390			776	360	1032	1399	328	1077	1409	523	802	1439	498	885	1446
"14"	"970 Hiland"	"14"	"G"	"1"	"AK"	2014		557	921		257			497	215	676	895	197	697	896	327	541	917	298	597	924
"15"	"300 JBER No. 2"	"15"	"NA"	"1"	"AK"	2014		198	300		78			162	77	217	295				75	187	300	56	224	301
"15"	"305 Creekside Park"	"15"	"NA"	"1"	"AK"	2014		394	805		258			450	380	423	803				337	425	809	362	410	811
"15"	"310 Muldoon No. 1"	"15"	"NA"	"1"	"AK"	2014		225	550		200			268	283	265	551				266	244	554	294	219	560
"15"	"315 Muldoon No. 2"	"15"	"NA"	"1"	"AK"	2014		221	481		168			256	229	250	482				203	252	483	246	212	485
"15"	"320 North Muldoon"	"15"	"NA"	"1"	"AK"	2014		240	529		176			293	276	252	530				235	243	531	267	232	537
"16"	"325 Russian Jack"	"16"	"NA"	"1"	"AK"	2014		189	463		125			263	266	183	454				229	200	461	256	193	471
"16"	"330 Nunaka Valley"	"16"	"NA"	"1"	"AK"	2014		306	777		225			399	417	343	763				374	350	783	449	296	788
"16"	"335 Northeast Anchorage"	"16"	"NA"	"1"	"AK"	2014		200	488		147			265	250	223	474				217	233	491	252	204	493
"16"	"340 College Gate"	"16"	"NA"	"1"	"AK"	2014		298	681		184			384	358	308	668				331	289	673	374	288	687
"16"	"345 Chester Valley"	"16"	"NA"	"1"	"AK"	2014		248	512		142			297	214	276	492				227	256	510	233	258	516
